20000 100000
1027 2975 147865
3402 19935 154251
1569 2645 155839
216 9451 179227
10002 8302 98747
7566 3255 44767
6045 11065 74056
8734 2858 76645
715 5048 99931
12357 5772 118012
16742 9029 12889
3964 13678 177702
2439 8761 77050
8529 5474 127583
9013 12005 22628
11068 13511 58398
3319 1412 96424
19849 11125 105225
13967 19644 170280
5680 4929 121857
8367 10851 77284
14987 5984 10415
18119 1833 182876
4077 4235 193091
5674 4712 11993
3225 6316 152724
12103 6533 26623
15163 3061 18237
2962 7450 26942
18533 11089 178687
451 13793 129862
18480 1318 4146
9474 6033 107793
6807 8846 53264
17792 2647 80937
12434 674 137075
2387 13981 196728
10080 2608 138806
8069 17255 72018
13296 14022 113194
8175 19933 144765
2119 4865 63620
13054 1658 3691
10856 3300 2810
4701 9552 168301
7961 15343 111338
3006 19074 55499
3065 11642 133771
6170 16096 167700
8760 773 165895
983 16698 169669
13387 15999 13804
5312 9456 63008
16515 308 42019
1808 19922 19861
605 14608 194073
10166 16607 58391
14354 4877 23491
1843 10428 107952
7613 4578 137829
8163 11766 149310
1399 2280 62237
14736 13231 73647
7116 15790 117754
10784 17831 2705
11680 6206 121075
4179 15251 52128
18129 5590 163140
11954 9370 75169
14215 923 67843
5366 5184 120753
599 18794 34996
5313 8889 96662
2673 6638 128804
6753 16998 44673
6475 14470 136745
17032 9977 97801
15251 16269 178550
2698 4651 72205
18047 14899 63217
19906 4715 72774
4674 8013 70520
7539 2425 35644
7850 17319 75509
15989 16144 40932
10927 19324 107268
950 7698 528
15952 17331 12348
7941 3219 5193
6424 1037 28127
17209 7736 116082
434 160 7694
15424 10591 51078
519 4544 76978
17036 15368 83681
10888 4622 132417
2529 16793 12371
4141 12924 191325
4239 12692 122686
1429 7065 142745
19652 16184 51504
19162 6202 122867
14832 1865 141311
13702 14426 13521
13670 18512 108129
18111 14104 92680
18282 19308 56118
18371 687 141055
15944 12822 7052
13988 11590 119150
17156 915 150725
17355 18592 92828
9571 1638 21817
11493 19736 49095
10383 9092 23017
4687 14693 132777
12779 1200 137197
14513 10185 115773
2404 7125 100713
3202 17823 143990
14493 3528 115500
16793 2920 49365
10814 15164 159649
11235 19163 99908
7381 17003 98642
11561 9394 183529
10745 11631 68663
6545 7326 136211
7962 4991 134421
6138 6716 139708
17533 737 23713
14447 2577 137151
8773 10300 135906
17844 12195 57584
19492 3831 46233
14779 1546 96779
3035 9878 42010
15535 10738 144219
2725 4666 157734
18330 10363 42056
6250 15556 148592
3831 19255 168576
19357 946 54032
18033 10698 83800
17874 12570 72169
19061 19723 138273
12383 3549 11305
19583 7518 173715
11115 5643 88759
3686 13597 191994
16607 14637 162619
12982 10025 180307
2226 674 43643
13291 12945 91536
7449 9092 63321
4171 17800 53012
15997 18031 135902
7568 7722 27184
16470 14572 157838
3884 17891 165627
4894 16533 139027
2257 10113 84348
10030 6365 58404
2685 2461 75712
17583 11673 144372
1695 10321 145383
5906 7480 171546
14722 5413 123055
17919 919 53182
12253 5001 76298
19345 16858 129838
13870 19289 23953
6134 1583 99891
422 17717 94487
1323 1791 170954
9260 680 4016
5169 7117 6483
9639 15090 20978
9383 3522 171286
9751 10109 118464
17689 11053 165567
839 7804 152743
18349 5001 102818
6645 16326 43809
13038 7541 6258
6473 10933 178045
5230 288 23479
3379 5418 197769
19085 7796 93286
7953 2500 69106
8812 17838 174657
11328 19841 61895
6312 2903 33160
18568 9360 142088
13696 13869 83427
10993 11559 95082
1171 18196 118432
10503 13408 67397
13288 16399 65567
15841 17177 72905
8329 17808 80840
19118 1641 58368
6324 8897 93480
10578 13719 191717
3407 6418 81103
11395 16699 180702
1209 12569 192846
3729 693 131569
13766 3810 31282
5091 15889 5733
1458 15017 94926
16937 12615 15994
10761 3187 179391
14064 6098 155567
16235 16390 191676
2269 1168 64490
7479 14901 174798
12552 19892 3720
13880 4982 179221
3942 14094 96239
19160 3967 142309
12520 2116 114906
10490 17083 11821
7890 3732 113601
15446 11546 161776
14458 11173 115213
17332 18296 6650
6277 11076 16329
13647 14216 65635
16087 916 45812
8084 11271 150532
19457 5321 37733
8869 16978 73077
7081 10533 60394
284 12473 85938
7929 14 145552
13523 7769 110977
7175 6013 86659
15364 1332 13177
6603 5501 199463
19997 1583 128962
3390 10098 127142
15246 17189 170732
7239 15631 107919
15489 5438 44403
6317 15267 45376
3908 10695 18339
1791 11108 147067
655 11909 165899
8402 19733 22236
2649 4251 171345
11592 8767 39762
10071 15054 170201
18220 7863 142166
5201 5766 41966
808 19568 89718
1827 5200 36808
15524 387 83126
13974 2953 51846
8143 6872 167207
16435 11052 90297
7644 18266 171810
5458 13113 159268
5456 14475 179470
2860 8645 122048
286 6770 73651
10779 8355 185959
11928 14544 188639
10084 13674 48389
14529 18073 102193
12423 15243 83047
5087 4580 34014
11071 8097 179264
9372 11108 84194
15517 14139 189772
8535 18585 184778
16367 394 187929
7650 11572 133573
2741 5259 192563
5486 6365 80416
6604 7089 18595
4533 1322 37477
18604 3834 100294
8040 12857 160255
15226 15875 134652
12328 16072 139793
9159 18579 193248
15909 8473 179057
3060 17974 170379
7722 18794 124464
17370 5916 5153
19449 8600 178834
15553 15709 16093
5098 14132 15225
8253 16369 81180
2634 13356 125074
9374 5194 98725
430 3284 150088
1935 8878 68963
16068 15993 33884
16584 4534 57559
4807 9429 59604
17367 3410 171379
9632 10638 21858
13812 1537 65000
6995 2865 52549
12165 9711 95242
16390 1940 158392
19533 4891 182124
17836 8495 195562
11033 15509 84938
18082 12978 170661
1211 1075 185748
11994 17719 80912
3975 16608 75856
17618 12665 49473
10505 13258 36748
11023 12514 166455
15983 15591 31646
19637 1940 116352
19523 14409 148406
14892 7860 60518
16788 19255 83241
14153 13215 58325
3126 11318 191373
9861 2128 94247
18225 14858 112200
12626 4623 199291
18408 5350 165537
18290 17958 20308
1608 14936 97538
16389 3638 74774
1376 4691 38770
15149 19028 12120
3023 16413 181050
5627 4159 34174
6349 1017 34676
4138 15846 116410
16780 220 82818
12345 7349 177636
3279 5327 76776
6365 6082 151707
11908 13096 100162
4122 2443 198229
1583 16544 146906
1627 4060 94793
8917 17993 78411
7666 6842 126180
10635 11415 75907
10695 2523 2612
11118 19749 137093
8447 3513 18541
5854 498 130436
6580 4664 180037
5568 8897 128505
11825 17278 152189
2053 15233 59268
9952 7117 110486
4595 18853 66883
15502 15926 92245
12135 11997 104943
11275 2333 181060
2445 5772 70816
6991 9099 71574
2675 1829 2900
1183 12470 31273
15715 5856 38872
91 13666 95871
4000 15108 180195
3900 10414 25326
643 14232 91728
7143 7135 145818
13858 1894 65608
15486 12864 162884
779 733 108855
3570 10339 185981
16083 15801 133488
17735 3460 79355
13417 236 146515
18060 11817 27637
8364 9280 190302
15831 1895 170676
8129 3625 6448
10753 16889 171205
2247 8873 120689
4650 18122 185337
15650 343 11501
13231 1593 73108
6821 2905 110525
18473 5451 142196
19558 1865 59882
630 11949 1774
19779 9068 140363
12321 17501 128644
7873 17873 127385
15935 15291 187178
18755 6943 193208
19128 17137 7155
18144 9264 186792
1021 11973 64817
16272 18078 55086
677 1054 68684
18578 11529 13905
3647 18923 126758
3596 6235 90186
5977 5288 78673
16562 7050 161479
14159 7313 152937
481 15303 195538
7410 8603 16915
161 17568 126981
19701 12825 98046
10132 5807 110105
8260 19568 167011
19335 2170 166652
2652 19005 92500
116 16512 163450
10748 7663 68845
2197 9096 127713
19342 17115 11816
4060 1314 128181
3602 1706 39339
3131 10837 16857
1610 6200 39504
1777 6082 74930
18574 18889 43583
17811 17495 78154
12275 4745 136412
15229 14142 34585
1205 19880 167586
4352 1480 118023
7463 19308 135904
2048 9940 7827
11867 2498 60673
18481 328 177504
14279 133 105301
1075 9264 111912
3371 7438 100143
13158 13050 175244
7576 6700 82853
11790 5626 144317
3315 1188 59964
8007 15076 183996
12559 2558 86861
11909 7121 14448
11412 12179 11117
3792 2684 61893
15387 10450 132774
18640 19642 164378
8877 16979 10957
10142 8590 83313
4521 5773 48837
15971 5773 55209
10192 4899 42217
12912 8523 87467
1550 9427 148169
18296 3525 140832
8436 10534 39457
8692 6044 103438
11687 8061 168635
8052 15061 146421
2114 2575 14626
13451 10341 45201
8578 19382 191639
15271 18361 106637
3300 14534 141048
644 19909 97561
13098 12594 87474
8560 10051 150559
13080 14573 78920
5700 4753 106914
6391 6256 176509
5184 8219 36460
2043 13644 110627
13192 3561 103443
4544 16661 140270
1976 9865 50271
10177 1677 39358
18713 3819 103782
6169 16053 49798
17839 7573 130509
12362 5021 175622
7586 18820 75258
15982 7517 134965
10421 13464 84819
9774 3240 100057
19711 9590 55101
1754 5375 166306
5179 14032 13648
10591 18648 95703
365 6412 130944
10486 6255 47440
17413 2297 66566
4891 9354 81887
2913 16162 148065
5459 6157 192035
11415 15356 95705
17784 373 155549
3743 19319 86552
7131 11510 53193
10206 14557 111019
3677 13888 161673
13017 12788 29415
3370 17001 86140
16022 12348 68571
4265 16926 31411
11144 5431 90856
242 7689 6315
15366 5444 40418
600 6225 52354
3650 4312 110012
12418 15768 152385
1598 4526 58192
2517 10713 178180
18411 1690 194966
2816 11805 20678
17014 17120 188208
1626 4534 49638
3984 1395 132331
16989 16193 51370
15432 12235 188222
16073 10618 136333
13067 8499 181758
13558 4616 30953
2500 9073 71625
6632 1676 109189
17464 10378 185876
15259 5676 94672
6050 3873 157362
19951 8761 15646
1926 13795 197497
1648 9955 99558
12504 3584 9289
4555 18545 23710
901 6491 43381
10625 6514 117231
15064 13435 147975
1235 1487 14617
5204 5438 29974
888 1959 165906
6148 477 151732
19319 11875 19493
6781 19680 109795
16524 15680 186915
15575 13501 170527
68 18564 181746
16350 13368 77283
19781 17840 54275
5745 8808 152380
11302 16739 108350
6516 15376 134864
18059 5507 68460
13302 17208 3174
2718 4657 112750
2154 3012 128036
18698 7489 147345
10204 7518 126586
15811 13813 19776
13398 17203 38405
17105 13589 199594
8264 13956 109461
10208 16478 23461
4452 8219 125080
8748 16413 102102
1804 6770 135731
7991 4438 113395
18372 1643 96296
12225 11763 194210
13510 18186 4715
15958 13515 150336
15368 7965 118586
2076 3378 24623
9776 3600 17811
10052 18943 38995
19624 18678 166710
15112 3544 177784
17112 1332 133557
9219 15376 51388
9427 5773 185596
15306 13146 45305
16259 17141 18931
18471 13712 27276
2686 13152 59465
8592 9910 72051
6252 16477 26949
8118 13937 163302
1870 5349 116812
5014 1690 23764
4623 1152 145237
5047 6204 16764
19366 16993 15442
7968 15668 20605
8362 10401 172221
10530 19321 176030
11215 1169 75794
8955 11550 152164
19131 17911 152165
7313 666 52981
15515 6549 149149
8637 2577 179040
13777 663 128772
8523 11428 102165
6994 17813 66862
13933 12902 183244
16895 18774 141881
16688 17737 189688
8122 14574 70227
13197 19359 90635
7443 10327 76686
6764 17449 169551
19834 11763 195069
11803 10574 14962
1432 19909 209
17753 17802 144251
11854 4680 73073
785 17315 102412
11626 764 92503
15885 6501 125986
16587 10688 42004
3022 15753 174015
10810 14198 81814
11572 971 82149
13293 6815 189205
532 7804 166932
6470 15164 137574
9654 13550 49206
18505 16251 94209
12663 8731 126684
6412 6044 191645
718 3962 199310
17249 17895 119856
2365 13553 102775
8787 14204 186893
13310 19915 46915
11594 4449 152848
13727 12368 1783
126 15090 52452
16575 5605 169152
11343 8897 95571
1017 15861 35049
9485 1894 140902
8325 18103 174679
3803 3212 197570
8699 12778 109884
16699 16560 65618
12783 15605 27769
13609 17317 105894
14292 11467 89475
10975 14731 42583
9578 15354 48014
2028 6466 166166
7982 19198 141533
2139 3188 49785
8131 6284 191271
7065 15926 149994
4106 18345 104124
9343 663 28109
8651 12356 97368
4408 502 125571
18769 8082 52363
12234 2827 59350
16671 7480 77291
12895 18270 174205
5331 4970 66353
13168 4578 9923
16060 1733 56631
15926 6615 25978
8664 4339 125883
7201 14131 37198
1883 2944 41816
6889 7573 46741
14732 19745 39070
2573 4796 60154
1097 19767 146623
4054 11381 182696
14648 15509 53858
15321 262 34225
7204 9086 71793
11005 16614 172034
10764 3029 24227
11655 11668 192833
1964 13636 62997
14783 3810 19376
4114 8214 17466
6255 4466 2682
5495 8666 2799
8002 5667 82862
15849 17902 117761
3994 13444 85549
1365 13053 147249
5278 17248 134515
11551 3880 151292
12181 9886 3468
12959 4209 9721
16364 7000 8031
15801 11609 87067
2465 12643 194337
5646 5349 13789
9133 218 18698
8786 13345 121188
14899 13688 33396
11008 18101 89770
19431 14484 37043
14663 18777 195894
14381 16687 92550
18696 11512 64308
9127 945 27913
19364 14045 79281
834 12369 90348
19811 8231 48719
5807 9234 112353
2067 11527 153914
4068 9373 185362
5885 7142 163108
7871 6090 69885
12822 5292 181347
19267 12823 180437
5162 16581 42151
12778 16002 16573
14003 873 80303
8873 12713 187203
3523 13339 74861
17768 10163 192813
1733 1592 164603
16169 3376 85306
2018 14274 48802
5467 10970 178803
2979 2805 32513
18900 1051 92515
9337 16221 197728
14843 18804 85979
16656 12654 190207
7361 19680 194706
11332 17183 57187
9410 5709 167241
6497 6639 102525
480 2568 166469
19163 16959 8289
18961 2118 81155
17321 9209 131124
493 7166 56381
9408 7342 111359
14765 3016 162976
4564 4789 44754
14972 16569 178373
18758 13693 77222
7711 14336 151769
2774 8776 82274
10905 17871 95749
2745 9742 196924
4168 4736 179123
6734 9168 35217
18648 14317 90058
617 479 109239
19234 3187 125134
4523 16606 8533
12852 19031 72221
13620 19191 173203
10608 5799 195733
14410 18384 16559
18383 12188 64390
15016 13546 138860
15846 8810 140362
10749 9142 44311
3303 1332 163556
9905 6204 162863
11344 15117 75829
8503 3584 15870
690 17640 23667
2153 5720 122995
1640 19467 16049
4546 2265 197815
2971 5938 52130
12632 6338 105901
2684 6407 178715
16985 10699 82936
3585 14691 11798
8753 15916 156616
9316 9165 148000
12606 16018 42693
7086 324 89736
4300 1390 120218
5730 14167 74603
5922 8125 31413
18871 15768 102847
16051 8582 137531
18176 1886 87344
15043 17593 39316
17449 19500 176946
321 2486 70457
11434 2243 41056
6910 17512 31856
550 11571 187013
647 10872 64238
19001 4798 29361
7758 18579 25528
9264 6905 121766
18893 1942 124603
9469 5303 186897
2850 7785 86342
15995 3999 148365
16434 12271 36437
7676 15766 83375
8025 4753 183814
13092 8324 180565
2552 4680 199301
15210 12771 85934
3219 2821 61368
4185 13745 137922
6326 12104 199349
6659 16261 66991
16311 14738 120920
13379 12305 9368
15362 1678 113262
10096 19111 15682
8324 2125 29669
13774 18777 3996
3111 13892 185958
6278 6038 4721
9199 14806 36038
6053 15717 170675
19060 8761 50302
9849 3170 166193
16586 7282 128017
12892 11635 141853
1123 19649 72530
18582 1940 6510
15308 5733 1710
14633 1809 128532
15290 13461 68081
18507 6695 62841
1670 4153 159841
10990 9074 56846
18003 12343 141492
1653 10457 100569
16606 16326 76398
6891 12429 149139
5371 921 181171
3997 8889 186548
1940 6216 139293
6055 1635 15428
585 6429 136922
13274 3715 3488
12694 663 94373
9198 18791 3250
2748 15076 119714
3062 3656 144723
9271 3516 171950
7538 8113 100128
10703 5677 18468
1456 9624 160939
16769 5376 75959
4282 3770 44445
16269 15028 143376
5403 10361 137315
11162 6835 109982
14481 6759 174473
3503 10009 2243
13418 15059 183131
19769 19549 60550
17846 19543 87594
6748 11952 112958
5884 961 171019
10782 16135 6299
9507 15621 107634
3038 12844 36539
6404 15765 102859
19839 11946 134010
7424 2760 117528
17387 1013 69411
12261 5620 58762
802 13749 120373
13839 17085 50201
1833 18175 55842
7730 5796 194833
375 17568 87098
3331 5413 192018
10682 12164 108068
1281 12713 77819
1270 1286 191899
1927 1382 36100
14345 10224 111264
13737 17856 126844
5708 3768 25905
18935 12502 175084
4871 15333 65433
7326 5123 188499
7731 8261 65699
101 5477 17477
6655 13579 182190
16326 13626 186326
2716 9298 75083
15978 14632 85412
7480 5394 178063
15631 2116 57120
7002 3220 149312
5736 5540 72182
13345 17540 5655
13463 1531 99746
6629 16406 70710
10245 4842 80928
18545 4537 186561
646 11419 178123
14237 642 34442
10094 7430 163068
19115 16162 197818
18723 1301 128861
17639 14455 165154
134 13171 187893
6905 7193 122334
14583 17115 37462
890 15759 188218
5985 12755 58182
1504 1819 145031
9739 17138 192831
5893 5963 93442
18820 10342 39452
2170 9221 199623
17198 17660 24285
18705 13893 13995
9821 3480 136782
762 932 20478
3965 3284 132282
16413 4671 53577
4570 16352 56637
5723 6738 180174
12104 11845 30615
14054 13743 173275
5423 17347 58837
5576 15313 196532
15121 9347 162296
11692 17944 15022
10004 4635 130727
7718 19371 5305
14909 4497 47892
13400 4580 190568
4030 13012 28202
1348 7472 113102
11766 16399 30816
9163 17565 194538
6857 17515 56149
12962 6467 153533
4332 552 157183
8098 17491 102741
19861 4735 112418
17681 6801 174916
8652 11537 6417
18518 1676 128693
1533 13456 18793
13363 19500 76996
17038 19500 129821
495 15591 79875
11549 9269 53727
1314 12824 112224
17200 15331 71203
7536 3220 179149
705 9234 89779
8063 1656 19177
18567 966 56906
4497 7003 180665
19933 15356 48268
19053 11896 187005
17329 18670 44715
10416 7705 93807
16618 3410 148841
8104 11894 119415
16002 1548 104449
1013 4461 166493
9096 13455 181853
12960 7055 76105
5620 14996 183670
14991 5438 168860
16836 18523 93039
13787 13604 159342
10005 7329 107539
11435 13414 16121
11189 7948 14355
6679 13055 49028
1388 14022 178828
9913 19255 134998
13997 6104 133135
17151 7001 42366
946 11588 195822
5266 13303 175543
8385 16141 194293
2241 10138 102143
17728 10620 184045
3776 18106 11746
7405 4034 74624
18673 1644 171274
1909 8433 179798
1244 6615 61414
17115 14327 163926
3230 1220 147422
13115 7761 122262
18469 5350 190532
17943 13308 81314
1019 16998 45479
2172 18943 95534
2295 13835 18420
10350 8539 103636
15225 12633 54167
17066 13950 27452
9647 4461 144838
667 2103 194686
5913 4914 122779
6576 4738 163246
13474 12308 144434
2751 19768 21269
14854 5321 104690
1967 3880 100558
17499 6721 162930
3485 15250 33098
1276 6872 51104
8824 403 153004
11875 13249 8851
15134 17663 46859
4994 13055 47624
9934 1223 65333
4507 13228 118228
11104 561 175393
9332 10882 21407
11719 7419 48791
13878 3893 112430
19480 7624 55855
2135 2568 126212
2890 932 132629
14911 6985 183290
8781 15298 110989
1199 7199 153845
5643 2116 47990
15468 9832 96376
19133 16074 70024
824 3328 69413
392 12801 26572
9392 8891 185908
7049 16652 144320
2750 11728 44594
9598 14535 57068
13083 18872 155275
5798 192 39269
19962 8410 182395
17396 16959 5809
18728 8997 180436
12308 10544 19861
7898 10923 36822
12915 12690 4981
19077 18196 11939
2454 13917 61533
12100 14187 38566
17120 6078 106838
14700 16953 46575
1710 1799 27410
326 10887 69138
14134 9592 162216
9007 5092 28
1772 5823 19540
7762 5814 163995
12884 6997 11653
18196 17365 120731
4336 3242 42152
7964 6477 161166
488 3507 115893
9467 15753 108854
18006 17524 78520
12431 19002 48351
5333 16295 83460
16501 19790 44464
6145 13541 170352
8802 13778 72798
12519 13813 23912
10521 7944 17489
15805 8241 18430
15744 10107 15626
8761 15249 129555
11868 6133 93640
105 11670 75374
15803 8442 122571
15273 7475 168739
15233 9442 117426
10887 2191 178152
11625 13161 132166
12584 12014 101931
16698 9234 77248
9636 5611 24911
4460 12397 55505
12136 4050 196966
16773 3899 25341
1471 3170 191617
6544 13483 116430
7708 19103 136256
5733 4469 175861
13476 5784 71661
665 3386 119452
11025 6931 94281
17976 13314 196794
9053 3481 144029
1644 14796 68336
13916 8292 51007
15889 7997 66696
14980 12502 59273
8615 9084 180362
3170 13791 31678
12016 18790 170385
11963 14823 99164
16959 11580 87436
11914 154 182671
8564 4557 176475
17898 10727 153423
18472 19953 90349
6190 11004 13587
5178 7121 51021
15628 16592 124775
4472 6598 13651
16544 737 85394
13258 10097 136914
13518 12022 136148
8442 10690 83463
6125 334 35820
6485 3312 132637
13429 8405 752
13793 14774 18185
1942 18081 145380
6615 17518 6931
1268 6303 150042
32 8206 35916
19201 7736 31500
2743 15543 5903
2671 14867 33205
17676 12384 186117
4970 4675 42265
6337 17911 58055
15086 10494 139401
11075 5562 118436
6367 12812 155148
7365 10368 77524
3649 15794 113916
15279 140 132076
6667 10240 166849
7290 17296 24
9837 10339 128117
624 17162 43175
12463 6009 9568
407 12213 6272
11585 17540 50519
8314 5069 171962
17414 5992 142950
9715 5438 136497
11520 4438 89501
10389 13053 22815
13164 3582 52440
1282 16285 118728
12605 996 95391
8024 6098 159418
11621 3071 98955
733 2515 30786
19961 13220 147305
12213 5135 18250
12934 13639 27291
10246 1356 84674
12206 1318 189243
12429 13512 48777
4691 13962 108142
6874 18460 167546
11166 4461 66602
13738 14393 113943
7430 12696 132844
4664 7192 198121
9325 6133 105497
7120 10836 85143
18392 14376 158534
15883 2486 72587
6491 11580 174300
14217 499 121701
8015 5092 139751
15583 3490 39511
16074 14067 106867
13461 15252 113958
4581 13810 136132
17580 6013 42666
17253 10471 39718
16829 1510 10631
4717 502 6532
10106 3463 185289
11003 2425 173834
4969 17717 19722
16686 19084 65811
3962 18081 66828
8082 1722 128855
19582 14210 36227
15600 1946 93009
2654 4469 164384
6016 19538 39916
16455 19358 188648
6717 1115 24922
5070 10093 183595
13688 12976 150057
13047 17251 93646
17785 7030 19770
9712 7931 161242
14986 4755 752
10435 3255 162425
14327 14773 167224
19428 6666 128512
15621 10559 85249
701 1943 119058
1414 5773 5636
2227 17003 57630
6796 5879 65207
15275 2372 97348
15319 18013 186182
13975 574 137160
16379 11973 1387
19080 1676 17898
3793 16770 98572
16295 13658 45102
9959 2966 193068
6313 1150 59880
484 5589 151511
9342 10603 111680
13057 7670 14112
19271 19062 194273
5012 17068 30283
14141 581 62898
17540 15667 183491
16228 13435 64144
9074 8643 2618
5747 19042 114152
14191 15492 112706
2887 18950 136247
19876 12666 121236
6006 2352 73973
2963 15761 2748
12499 7547 187261
6438 17517 93621
6399 225 127748
4058 9622 156894
18261 5163 30108
9165 6489 80082
7010 13546 27936
12857 10265 35680
18136 10292 120384
494 10581 36810
3736 12719 125911
4170 17319 166312
15088 16687 13556
3155 13247 169293
9896 5794 134721
11198 5530 163585
4436 12570 178621
13211 6830 2292
4388 3507 51751
731 5960 116288
297 1548 49298
17757 12281 40997
19063 16221 106951
4738 9711 92477
16472 8468 137386
1482 2440 168553
6908 18798 47548
1962 685 75378
7075 19349 199997
19252 3328 189844
7681 9018 65092
11534 8805 101818
15852 2658 162959
11580 10674 82264
15578 15238 169570
6015 1444 176624
16195 4841 33518
1747 13307 67822
3833 5004 68266
2023 411 167529
7494 4680 124613
2484 2885 41386
17643 7861 54243
14202 757 169880
17378 7562 143824
14087 13541 4003
6662 4139 32015
2128 16185 39302
17902 11312 37880
5781 11675 83524
19805 4644 4622
7251 931 162995
735 7610 192320
133 334 21114
18719 6231 127274
3946 12186 189589
18462 14230 61285
7845 12711 139074
12972 19742 46644
1966 8670 157363
1222 8292 180236
812 12877 154518
17534 10093 130003
15911 16467 192549
635 4257 61020
15859 16422 2941
3511 6949 153510
13602 62 44018
6316 13990 73652
2670 4435 184564
4181 13146 20808
3712 8450 119951
11706 16661 192767
981 14611 181828
7436 12484 39161
9738 15249 106744
19393 1824 57964
18450 7210 120042
2180 11761 82019
19813 6624 142518
3356 4657 154946
11694 4125 85221
10666 6771 16578
17838 3243 179765
13958 2754 126296
6256 19686 18535
17570 9759 103014
12917 19286 12615
3061 12049 139883
9258 9619 17443
7001 3843 138203
17990 12364 35265
13658 7208 140560
693 9309 61752
10156 8844 94832
14720 19903 22201
17123 10227 138064
15076 11718 130368
11718 6937 168925
6173 19592 179810
13900 3983 158938
1959 6415 56255
5394 7811 189829
5522 7882 147149
18208 14971 57820
17669 15033 93683
2559 15867 138532
9842 19560 99269
18419 3561 100275
18967 11998 8125
462 5920 191179
9442 9539 51278
17649 11281 197706
15469 1127 83825
5018 11406 188942
8872 12460 141826
15793 3346 87623
5800 10680 193032
19099 11983 182792
17461 941 35152
17017 3196 130856
13501 18630 159719
19211 2773 139325
10684 2922 136538
916 8515 175796
19862 4841 148884
7348 3226 63525
16222 10044 46963
561 8677 166678
4991 18081 68989
13414 4159 13521
11228 10093 17723
7079 8463 96524
10762 1604 136940
12867 3906 166895
13201 10663 23071
17442 19723 188933
13439 17568 122899
11529 19743 88304
11689 3615 44217
7208 19743 15825
4571 9221 20344
2558 331 48145
16121 7535 72712
18777 7129 28538
14686 13232 165638
10844 9421 193279
5380 1720 34069
15510 16560 65719
11591 11919 89272
18073 18107 34908
12864 19510 172459
8539 15258 168457
16814 14848 54251
11949 15951 58982
15939 10956 154809
4638 7859 12134
8239 18229 195014
3605 7987 169664
14606 1944 54222
1220 12986 162266
6872 14489 21328
13410 2418 95248
2092 12466 84536
6344 19314 5046
14942 1352 168791
2301 15115 34448
87 3086 9282
8991 13303 43304
14873 12216 39745
15436 11131 45801
5123 9416 130449
13187 14510 38770
13064 2314 148537
12123 8960 131202
760 2382 44195
97 10923 151294
11140 15627 20991
18739 15611 131744
17978 7473 50348
3391 8183 17238
8295 7264 77332
8009 1824 43373
9129 19500 81557
17646 5365 148729
2891 9353 99977
7807 1188 89443
14067 13312 50841
15353 10906 159185
3345 5878 175020
18936 8058 193034
14427 17660 190791
19858 1295 111242
16828 8559 192662
14409 4671 41126
6082 15905 10199
15993 1764 132868
18010 3478 120475
40 7721 71349
2713 569 48050
6244 13626 189233
5325 2784 115223
18781 18224 113628
12938 8 36745
12010 14644 159810
8219 14906 16602
12703 7497 189418
6650 4461 153177
11859 10459 74243
17749 4438 3832
11698 603 153597
4037 19979 48129
18489 11946 161999
17365 1358 142776
10750 13136 116745
12986 1943 124425
19899 19390 100581
7518 3624 149279
596 4635 187263
2271 4503 160824
19959 8702 64609
13935 17751 52832
7160 15596 164562
13626 11402 106201
12199 9016 154959
920 15957 66282
11756 13539 60509
13911 13610 97234
2951 15065 105378
1888 19199 120533
9369 4682 156906
11609 10674 133161
7965 14811 64267
19209 17345 58419
4929 1746 138836
14436 11475 31453
18042 7164 27181
19645 5744 24824
12684 5020 110420
15059 10065 37670
486 10849 43380
14667 19446 9230
15927 14288 16866
2138 7193 58833
5672 10305 186125
108 1453 91391
19185 15776 22650
10276 4456 129219
571 14176 51833
11608 1230 33287
14022 14886 127814
3768 14448 121104
4578 9154 118786
5290 16333 12414
17586 11635 119651
660 7520 189376
19921 19841 62424
15519 6921 33320
17216 16076 29763
19500 18181 183718
13745 830 175869
13782 14867 105569
11556 17271 109562
18611 10582 4069
7710 10168 190115
19247 12583 181744
15162 17315 9054
13882 820 54153
19608 8179 110431
13522 14688 181102
2174 13459 149326
12369 3549 119878
7113 11931 189822
1720 12453 198043
13392 16166 173467
3521 5125 39065
2848 15179 97982
2888 9777 38086
16135 16163 87949
3696 9941 181888
4351 17391 132064
17250 17983 66207
17281 2599 18565
2978 18397 100255
12767 3330 182176
1150 12906 180835
6121 12458 188936
14288 4156 65657
19592 8829 9678
924 12473 27756
2626 13125 196771
7804 8552 65552
10938 16789 7359
6208 15795 74138
16600 16120 171251
15768 12458 68706
15516 744 18852
9092 4642 139690
17781 773 107524
3911 373 29961
7753 12417 130436
14402 15774 131353
10137 6102 56866
6578 17183 85878
18304 5083 33101
15242 12424 128829
18071 17592 13941
2046 13628 26579
4372 2263 56717
3880 12583 26793
18036 10479 75533
17183 17352 161083
15025 15710 170438
2029 17114 52226
12665 11345 165766
19925 8858 33119
18968 5275 60839
2372 14996 36203
15386 11781 139342
12680 146 23679
19222 19121 178784
2805 17218 115986
17227 15471 43338
1515 5791 197834
3625 9716 105173
12906 15734 142877
6727 231 146527
9453 19504 198683
16626 10998 21435
19324 674 168445
17011 6770 130516
6080 19602 85977
3710 18995 119496
19496 2286 40341
2499 1256 1373
505 4804 34930
7372 6009 96652
17826 4899 63950
10771 13402 137531
10871 10589 169852
1802 9940 86309
